                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                  0.653,                0.28681,                0.91811,                0.99781,                0.99901,                 0.9941,                0.87173,                0.63457,                0.22842,                0.92678,               0.006172,               0.006172,               0.006172
                    118,                0.65447,                 0.2891,                0.92909,                0.99822,                0.99861,                 0.9941,                0.87155,                0.63439,                0.22832,                0.92722,               0.006139,               0.006139,               0.006139
                    119,                0.65541,                 0.2894,                0.92283,                0.99814,                0.99861,                 0.9941,                0.87191,                0.63433,                0.22812,                0.92738,               0.006106,               0.006106,               0.006106
                    120,                0.65061,                0.28896,                 0.9164,                0.99818,                0.99861,                0.99411,                0.87177,                0.63418,                0.22808,                0.92705,               0.006073,               0.006073,               0.006073
                    121,                0.65187,                0.28846,                0.91545,                0.99826,                0.99861,                 0.9941,                0.87205,                0.63394,                0.22795,                0.92653,                0.00604,                0.00604,                0.00604
                    122,                0.65244,                 0.2861,                0.91564,                0.99827,                0.99861,                0.99411,                0.87202,                0.63359,                0.22802,                0.92605,               0.006007,               0.006007,               0.006007
                    123,                0.65306,                0.28544,                0.92419,                0.99826,                0.99861,                0.99411,                0.87198,                0.63337,                0.22807,                0.92603,               0.005974,               0.005974,               0.005974
                    124,                0.64948,                0.28825,                0.91839,                0.99801,                0.99888,                 0.9941,                0.87193,                0.63308,                0.22803,                0.92594,               0.005941,               0.005941,               0.005941
                    125,                0.64719,                0.28722,                 0.9108,                0.99801,                0.99889,                0.99411,                0.87188,                0.63271,                0.22784,                0.92532,               0.005908,               0.005908,               0.005908
                    126,                 0.6509,                0.28511,                0.91654,                0.99801,                0.99889,                 0.9941,                0.87208,                0.63252,                0.22755,                0.92509,               0.005875,               0.005875,               0.005875
                    127,                0.65264,                0.28766,                0.92085,                0.99801,                0.99888,                 0.9941,                0.87231,                0.63234,                0.22763,                0.92505,               0.005842,               0.005842,               0.005842
                    128,                0.64932,                0.28557,                0.91813,                0.99801,                0.99883,                0.99411,                0.87239,                0.63204,                0.22757,                0.92474,               0.005809,               0.005809,               0.005809
                    129,                0.64451,                0.28361,                0.92344,                0.99828,                0.99859,                0.99411,                0.87239,                0.63203,                0.22745,                0.92498,               0.005776,               0.005776,               0.005776
                    130,                0.64915,                0.28594,                0.91964,                0.99828,                0.99861,                0.99411,                0.87258,                0.63185,                0.22741,                 0.9249,               0.005743,               0.005743,               0.005743
                    131,                0.64934,                0.28564,                0.91283,                0.99815,                 0.9985,                0.99411,                0.87279,                0.63147,                0.22697,                0.92443,                0.00571,                0.00571,                0.00571
                    132,                0.64585,                0.28528,                0.91285,                0.99815,                0.99849,                0.99411,                0.87279,                0.63114,                0.22689,                0.92408,               0.005677,               0.005677,               0.005677
                    133,                0.64192,                0.28211,                0.91824,                0.99815,                0.99848,                0.99411,                0.87299,                0.63118,                0.22679,                0.92415,               0.005644,               0.005644,               0.005644
